PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA,DEC,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC
145,ESO409-004,ESO 409- G 004,ESO 409- G 004,,00015721-2759582,-,-,0.488471,-27.999442,0,0.607,0.212,53.9,H,1,3.5,1.5,74.97,9720.4,30.7,9566.2,33.74,2,1,132.871,14.4821,119.909,147.449,104.952,163.878,N,,15.14,,,,0.269,,,0.076,0.678,,,,,0,0,0,0,,,,,,,,,0,0,12.561,11.683,12.019,0.059,0.067,0.135,2,,,,,,,,,,,,,,,,10.7553,,,,,,,,,10.6701,,,,,-1,-1,?,?
146,UGC12916,UGC 12916,,,,1237679456535969818,-,0.513096,17.573914,1,0.41,0.285,170.0,H,1,7.6,1.1,52.26,6351.5,4.5,6409.5,12.8,0,0,92.4625,14.1445,79.3467,107.7462,68.0915,125.5563,Z,,16.5,,,,0.5,,,0.121,0.288,,,,,0,0,0,0,12.70043,12.748891,9.827788,9.373884,0.007009,0.024396,0.084784,1.064338,0,0,,,,,,,0,17.392,15.963,15.43,15.128,15.022,0.04,0.005,0.005,0.005,0.017,,,,41.9771,,,0.787,,,,-0.297,,-0.309,W3,,,,,,-1,-1,?,?
147,PGC000147,CGCG 456-016,,,00015787+2137162,1237680297281323135,-,0.491237,21.621117,0,0.288,0.256,127.5,H,1,,,27.45,6704.0,44.0,6781.2,45.48,0,0,98.4577,13.2108,86.0949,112.5958,75.2844,128.7641,Z,,15.782,,,,0.577,,,0.223,,,,,,0,0,0,0,11.1902,11.22259,10.386263,9.303575,0.001067,0.003861,0.108327,0.852421,0,0,12.416,11.72,11.446,0.043,0.055,0.064,2,16.896,15.066,14.236,13.84,13.516,0.015,0.002,0.002,0.002,0.004,,,,41.8082,,10.7241,0.901,,,,-0.448,,-0.459,W3,10.6786,,,,,-1,-1,?,?
148,UGC12917,UGC 12917,,,00015230+4020109,-,-,0.467868,40.336401,0,0.392,0.29,97.2,H,1,3.0,0.4,43.91,13570.7,27.8,13729.9,29.26,0,0,186.3047,19.6593,167.6471,207.0387,150.858,230.0802,Z,,16.27,,,,0.445,,,0.497,0.193,,,,,0,0,0,0,,,,,,,,,0,0,12.321,11.617,11.316,0.045,0.063,0.076,2,,,,,,,,,,,,,,,,11.33,,,,,,,,,11.2449,,,,,-1,-1,?,?
149,PGC000149,CGCG 517-014,,F23594+3622,00015849+3638570,-,-,0.493709,36.649167,0,0.348,0.2,17.5,H,1,-0.2,0.7,62.15,9712.7,4.4,9856.8,10.58,0,0,138.2741,14.7751,124.261,153.8675,111.668,171.2194,Z,,15.293,15.4,15.4,,0.328,0.1,0.1,0.451,0.07,0.1022,0.3333,4.476,5.365,1,3,3,2,,,,,,,,,0,0,12.324,11.528,11.181,0.036,0.038,0.043,2,,,,,,,,,,,44.8432,44.688,44.709,,,11.1251,,1.433,1.584,1.644,,,1.433,FT,11.0399,,,,,-1,-1,?,?
151,ESO349-020,ESO 349- G 020,,F23594-3344,00020386-3328023,-,-,0.516197,-33.467246,0,0.469,0.282,31.5,H,1,1.3,1.0,57.31,8760.2,21.7,8584.5,25.72,0,0,121.0696,16.994,105.2144,139.3141,91.4356,160.3079,Z,,14.869,,,,0.257,,,0.056,0.224,0.1374,0.1481,0.9414,2.031,1,2,3,2,,,,,,,,,0,0,12.101,11.459,11.165,0.032,0.037,0.048,2,,,,,,,,,,,44.3608,43.9937,43.9164,,,11.0161,,0.951,0.89,0.852,,,0.951,FT,10.9309,,,,,-1,-1,?,?
152,PGC000152,MCG -05-01-025,,,00020544-3037082,-,-,0.522708,-30.618986,0,0.405,0.245,144.7,H,1,-1.0,2.0,61.25,9040.8,49.4,8876.0,51.32,0,0,124.6388,15.9215,109.6922,141.622,96.538,160.9193,Z,,15.7,,,,0.363,,,0.05,0.0,,,,,0,0,0,0,,,,,,,,,0,0,12.365,11.658,11.316,0.035,0.045,0.055,2,,,,,,,,,,,,,,,,10.9809,,,,,,,,,10.8957,,,,,-1,-1,?,?
154,PGC000154,MCG -02-01-009,,,00020630-1013067,1237652900211458098,731864662215256064,0.52639,-10.218543,0,0.445,0.127,113.9,H,1,3.0,2.0,82.62,8855.9,3.5,8780.0,14.43,0,0,123.5008,16.2184,108.3022,140.8323,94.974,160.596,Z,16.85,15.632,,,0.218,0.354,,,0.205,0.739,,,,,0,0,0,0,11.351447,11.223585,7.65819,5.969178,0.00143,0.004632,0.009883,0.043391,0,0,12.933,12.279,11.88,0.046,0.062,0.079,2,17.043,15.567,14.846,14.442,14.145,0.019,0.003,0.003,0.003,0.006,,,,43.0963,42.8846,10.7473,,,,,0.698,0.501,0.686,W3,10.6621,0.136,10.503,4.23,8.813,0,0,?,N
155,PGC000155,KUG 2359+122,,F23594+1214,00020393+1231516,1237678919668007170,-,0.516453,12.531,0,0.266,0.113,80.5,H,1,4.8,3.0,67.75,7929.9,5.4,7963.7,13.62,0,0,111.3192,14.6319,97.6081,126.9562,85.5858,144.7898,Z,,15.496,,,,0.41,,,0.389,0.62,0.1002,0.2682,0.2648,1.553,1,1,3,1,12.348681,12.17086,8.279915,6.310678,0.002285,0.006781,0.012204,0.044482,0,0,13.83,12.956,12.596,0.087,0.099,0.11,2,17.284,16.098,15.567,15.252,14.999,0.02,0.004,0.004,0.004,0.01,,,43.2926,42.7574,42.6578,10.3707,0.786,,,0.228,0.396,0.294,0.331,F3,10.2663,,,,,-1,-1,?,?
156,IC5377,IC 5377,,,,1237678600231715123,-,0.522286,16.590301,1,0.453,0.453,0.0,H,2,9.9,0.4,62.12,1050.7,2.4,1104.0,12.33,0,0,17.5403,4.0231,13.9452,22.0622,11.0869,27.7499,Z,,15.556,,,,0.319,,,0.15,0.418,,,,,0,0,0,0,,,13.48191,9.134912,,,0.933124,0.451242,0,0,,,,,,,0,22.853,21.56,21.446,21.2,21.454,0.461,0.067,0.081,0.099,0.445,,,,,,,0.651,,,,,,,,,,,,,-1,-1,?,?
160,PGC000160,AM 2359-441,,,00021051-4358398,-,-,0.543792,-43.977722,0,0.681,0.512,165.2,H,1,-3.0,0.6,51.44,11720.0,40.0,11507.6,42.1,0,0,159.1818,17.3562,142.7384,177.5196,127.9935,197.9698,Z,,14.7,15.3,15.3,,0.5,0.1,0.1,0.046,0.0,,,,,0,0,0,0,,,,,,,,,0,0,11.523,10.788,10.53,0.036,0.045,0.061,2,,,,,,,,,,,,,,,,11.5078,,,,,,,,,11.4226,,,,,-1,-1,?,?
