PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA,DEC,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC
15,PGC000015,MCG -01-01-015,,,00000504-0512339,1237672793422495870,-,0.020967,-5.209408,0,0.33,0.33,0.0,H,2,5.0,2.1,0.0,11290.0,30.0,11239.1,33.02,0,0,155.771,15.9509,140.6096,172.5672,126.9239,191.1744,Z,,15.445,,,,0.356,,,0.135,0.0,,,,,0,0,0,0,11.509635,11.438745,8.514935,6.941885,0.002104,0.007142,0.022673,0.107275,0,0,13.015,12.494,11.976,0.061,0.094,0.107,2,16.915,15.123,14.336,14.005,13.73,0.022,0.003,0.002,0.002,0.005,,,,42.9553,42.6971,10.9106,0.883,,,,0.572,0.33,0.56,W3,10.8566,,,,,-1,-1,?,?
16,PGC000016,MCG -01-01-017,,,00001131-0509313,1237672840671461505,-,0.047101,-5.158769,0,0.463,0.225,38.5,H,1,-0.1,2.8,70.71,5666.6,7.4,5615.9,15.65,0,0,77.7692,11.2745,67.2738,89.9019,58.1948,103.9275,Z,,15.12,,,,0.367,,,0.136,0.101,,,,,0,0,0,0,11.270192,11.237465,8.30947,6.892659,0.001588,0.005593,0.01804,0.098618,0,0,12.371,11.729,11.532,0.039,0.046,0.068,2,16.315,14.946,14.255,13.893,13.607,0.011,0.003,0.002,0.002,0.004,,,,42.4341,42.1135,10.4848,0.846,,,,0.109,-0.204,0.097,W3,10.4119,,,,,-1,-1,?,?
17,PGC000017,UM 015,,,,1237678777404424294,-,0.043519,4.93125,0,0.116,0.048,36.0,S,1,,,,9106.2,119.9,9104.3,120.62,0,0,127.4681,15.8172,112.5928,144.3085,99.4535,163.3739,Z,,,,,,,,,0.15,,,,,,0,0,0,0,15.244918,15.190968,12.539835,9.043453,0.034033,0.11454,0.630507,0.569394,0,0,,,,,,,0,18.635,17.719,17.74,17.68,17.6,0.029,0.007,0.009,0.013,0.046,,,,,,,0.612,,,,,,,,,,,,,-1,-1,?,?
18,PGC000018,CGCG 548-023,,,00001295+4657543,-,-,0.053958,46.965083,0,0.473,0.343,23.5,H,1,2.0,2.0,46.1,5366.0,36.0,5551.3,36.94,0,0,76.708,11.0103,66.4514,88.5476,57.5662,102.2147,Z,,14.721,,,,0.41,,,0.518,0.177,,,,,0,0,0,0,,,,,,,,,0,0,11.633,10.938,10.734,0.028,0.033,0.047,2,,,,,,,,,,,,,,,,10.7921,,,,,,,,,10.7069,,,,,-1,-1,?,?
20,PGC000020,CGCG 382-016,,F23576+0050,00001278+0107123,1237657192515829920,435848363443775488,0.053253,1.120214,0,0.433,0.282,132.5,H,1,8.3,2.6,56.77,7386.2,9.3,7365.8,16.34,0,0,104.9918,13.1161,92.6619,118.9625,81.78,134.7921,Z,16.268,15.186,,,0.072,0.311,,,0.127,0.345,0.1145,0.1833,0.2967,1.01,1,1,3,2,11.427031,11.387016,7.602245,5.95021,0.002028,0.00645,0.010655,0.04493,0,0,12.424,11.869,11.545,0.052,0.079,0.096,2,16.413,15.03,14.41,14.079,13.848,0.013,0.003,0.002,0.002,0.005,,,43.2912,42.9777,42.7511,10.7403,0.819,,,0.227,0.592,0.379,0.33,F3,10.6535,0.203,10.46,4.05,8.7909,0,0,?,N
23,PGC000023,VIII Zw 494 NOTES01,,,00002149-0236433,1237672795032060075,-,0.089541,-2.612028,0,0.718,0.364,127.5,H,1,-2.8,1.2,90.0,11365.0,68.0,11326.4,69.36,0,0,156.8934,16.7298,141.0247,174.5477,126.761,194.1885,Z,,15.4,,,,0.5,,,0.166,0.0,,,,,0,0,0,0,10.388992,10.445175,10.061343,12.657873,0.001017,0.003783,0.149467,32.2392,0,0,11.648,10.858,10.95,0.031,0.033,0.062,2,16.518,14.514,13.642,13.21,12.902,0.02,0.002,0.002,0.002,0.004,,,,42.3429,,11.3272,0.918,,,,0.028,,0.016,W3,11.29,,,,,-1,-1,?,?
24,IC5371,IC 5371,,,00001476+3249552,1237663234987393277,-,0.0615,32.832,0,0.259,0.226,147.5,H,1,,,29.96,9956.0,69.0,10084.8,69.74,0,0,141.3373,15.0519,127.0591,157.2199,114.2234,174.8873,Z,,15.7,,,,0.41,,,0.211,,,,,,0,0,0,0,11.53536,11.387193,7.792272,6.280854,0.001342,0.003897,0.008049,0.0453,0,0,13.109,12.507,12.04,0.05,0.067,0.079,2,16.76,15.44,14.76,14.374,14.092,0.011,0.003,0.002,0.002,0.004,,,,43.1599,42.8771,10.8005,0.841,,,,0.754,0.494,0.742,W3,10.7255,,,,,-1,-1,?,?
25,PGC000025,UGC 12891,,,00001932+2259259,1237680298891804735,-,0.080574,22.990532,0,0.421,0.237,30.3,H,1,-3.0,2.0,78.33,11691.0,31.0,11775.6,33.01,0,0,162.425,19.4175,144.1232,183.0509,127.8837,206.296,Z,,15.037,,,,0.41,,,0.318,0.0,,,,,0,0,0,0,11.333741,11.319761,11.149646,9.03787,0.000877,0.003204,0.165217,0.526259,0,0,12.02,11.308,10.995,0.018,0.025,0.029,2,16.979,15.211,14.457,14.1,13.809,0.012,0.002,0.002,0.002,0.004,,,,41.9377,,11.3393,0.87,,,,-0.332,,-0.344,W3,11.2788,,,,,-1,-1,?,?
27,PGC000027,MCG -01-01-018,MCG -01-01-018,,00002348-0656103,1237680243061096453,-,0.097869,-6.936157,0,0.38,0.188,141.7,H,1,2.0,2.0,65.3,11298.9,25.1,11239.6,28.68,1,1,148.594,36.9521,115.878,190.546,90.3649,244.343,N,,16.195,,,,0.358,,,0.153,0.367,,,,,0,0,0,0,11.464801,11.430446,9.300008,8.05294,0.00122,0.004667,0.037898,0.26404,0,0,12.595,11.857,11.869,0.032,0.04,0.076,2,17.389,15.546,14.698,14.27,13.965,0.018,0.003,0.002,0.002,0.004,,,,42.6003,42.2117,10.9124,,,,,0.257,-0.115,0.245,W3,10.8272,,,,,-1,-1,?,?
28,PGC000028,KUG 2357+205,,,,1237679504855793834,-,0.092946,20.796612,1,0.231,0.18,1.0,H,1,4.8,3.0,39.73,6852.0,6.2,6926.3,13.15,0,0,100.52,12.5316,88.7381,113.8663,78.3371,128.9846,Z,,17.35,,,,0.5,,,0.264,0.184,,,,,0,0,0,0,13.49531,13.593948,10.018896,,0.008581,0.03265,0.068878,,0,0,,,,,,,0,17.653,16.581,16.127,15.846,15.701,0.035,0.006,0.006,0.006,0.02,,,,41.9732,,,0.759,,,,-0.301,,-0.313,W3,,,,,,-1,-1,?,?
29,PGC000029,CGCG 517-010,,,00002226+3436573,1237663235523543553,-,0.092749,34.615917,0,0.264,0.227,13.3,H,1,6.2,0.8,31.07,12687.3,4.5,12823.7,10.85,0,0,176.8862,17.4446,160.2742,195.2199,145.2223,215.4539,Z,,15.498,,,,0.41,,,0.353,0.116,,,,,0,0,0,0,12.08066,12.046481,8.382196,6.760592,0.002763,0.008513,0.014763,0.070778,0,0,14.015,13.207,12.836,0.097,0.111,0.14,2,17.336,15.926,15.278,14.903,14.623,0.022,0.004,0.003,0.003,0.008,,,,43.1188,42.8801,10.677,0.829,,,,0.717,0.497,0.706,W3,10.5956,,,,,-1,-1,?,?
30,ESO012-012,ESO 012- G 012,,F23577-8104,00002208-8047344,-,-,0.092,-80.792889,0,0.705,0.705,0.0,H,2,4.1,0.6,34.54,7907.4,5.5,7629.1,10.47,0,0,107.2163,13.9807,94.1088,122.1495,82.6036,139.1626,Z,,13.95,,,,0.2,,,0.412,0.13,0.0859,0.0936,0.6043,2.375,2,2,3,2,,,,,,,,,0,0,11.026,10.401,10.017,0.035,0.051,0.058,2,,,,,,,,,,,44.2726,43.8336,43.6184,,,11.3697,,0.863,0.73,0.554,,,0.863,FT,11.2845,,,,,-1,-1,?,?
31,PGC000031,FAIRALL 1061,,,00002363-4701076,-,-,0.098417,-47.018792,0,0.473,0.376,43.2,H,1,0.0,2.0,40.78,5991.4,71.9,5770.5,73.05,0,0,80.471,11.9981,69.3245,93.4097,59.722,108.4287,Z,,14.59,,,,0.367,,,0.037,0.043,,,,,0,0,0,0,,,,,,,,,0,0,11.457,10.827,10.467,0.036,0.037,0.052,2,,,,,,,,,,,,,,,,10.9405,,,,,,,,,10.8553,,,,,-1,-1,?,?
33,NGC7807,NGC 7807,,F23578-1907,00002656-1850308,-,-,0.110691,-18.841891,0,0.366,0.302,35.1,H,1,2.0,0.5,36.18,7655.1,28.9,7540.8,32.17,0,0,106.4179,13.0062,94.1751,120.2524,83.3407,135.8853,Z,,15.569,,,,0.213,,,0.101,0.107,0.1633,0.188,0.2636,0.6561,1,1,3,2,,,,,,,,,0,0,12.835,12.269,11.835,0.052,0.076,0.074,2,,,,,,,,,,,,,43.2516,,,10.636,,,,0.187,,,0.29,F3,10.5508,,,,,-1,-1,?,?
35,UGC12894,UGC 12894,UGC 12894,,,-,-,0.09375,39.495499,1,0.43,0.43,0.0,H,2,9.9,0.4,0.0,329.5,3.4,486.1,9.84,1,0,8.4723,3.5267,5.5875,12.8464,3.685,19.479,C,,16.68,15.99,15.99,,0.477,0.15,0.15,0.468,0.0,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?
36,IC5373,IC 5373,,F23579+3230,00002880+3246563,1237663234987458698,-,0.12,32.782306,0,0.336,0.255,153.5,H,1,3.0,0.8,42.54,9803.0,31.0,9931.5,32.61,0,0,139.3158,14.6664,125.395,154.782,112.8652,171.9653,Z,,15.066,,,,0.41,,,0.213,0.18,0.0879,0.0832,0.61,0.7953,1,1,3,2,10.670744,10.527209,8.876193,7.28189,0.000444,0.001316,0.017244,0.095223,0,0,11.953,11.114,10.943,0.029,0.031,0.047,2,16.535,14.807,14.027,13.639,13.37,0.008,0.002,0.002,0.002,0.003,,,43.8499,42.7138,42.4642,11.2268,0.88,,,0.785,0.357,0.116,0.888,F3,11.1715,,,,,-1,-1,?,?
37,PGC000037,MCG +04-01-009,,,00003167+2618189,1237663305845506120,-,0.131958,26.30525,0,0.272,0.195,147.3,H,1,-3.3,3.0,57.09,7754.0,52.0,7853.7,53.14,0,0,109.7543,14.1451,96.4828,124.8514,84.8161,142.0251,Z,,17.16,,,,0.5,,,0.183,0.0,,,,,0,0,0,0,11.804883,11.786655,10.672762,7.816928,0.001779,0.006611,0.165946,0.284861,0,0,12.971,12.371,12.236,0.046,0.068,0.098,2,17.307,15.606,14.801,14.396,14.114,0.017,0.003,0.002,0.002,0.005,,,,41.788,42.043,10.5024,0.89,,,,-0.466,-0.269,-0.477,W3,10.452,,,,,-1,-1,?,?
38,UGC12893,UGC 12893,,,00002847+1713130,-,-,0.118755,17.220269,0,0.574,0.574,0.0,H,2,8.4,0.8,29.49,1106.3,2.2,1163.6,12.2,0,0,18.186,4.0719,14.5378,22.7499,11.6213,28.459,Z,,15.238,,,,0.321,,,0.149,0.089,,,,,0,0,0,0,,,,,,,,,0,0,14.771,14.257,13.452,0.102,0.174,0.223,2,,,,,,,,,,,,,,,,8.4547,,,,,,,,,8.3695,,,,,-1,-1,?,?
39,UGC12892,UGC 12892,,,00002508+0751138,1237669681187913833,-,0.104746,7.853895,0,0.453,0.387,164.0,H,1,2.0,0.3,32.9,12265.0,10.2,12277.2,16.46,0,0,168.6409,21.2598,148.6666,191.2989,131.0582,217.0011,Z,,15.656,,,,0.319,,,0.217,0.088,,,,,0,0,0,0,10.587266,10.600708,9.479231,7.598141,0.000902,0.003135,0.065725,0.241503,0,0,11.96,11.475,10.901,0.04,0.061,0.061,2,16.59,14.709,13.827,13.381,13.057,0.017,0.002,0.002,0.002,0.004,,,,42.6385,42.5036,11.4095,0.922,,,,0.291,0.153,0.279,W3,11.3743,,,,,-1,-1,?,?
40,PGC000040,CGCG 382-017,CGCG 382-017,,00003564-0145472,1237678881557577771,-,0.148556,-1.763104,0,0.413,0.288,132.5,H,1,-1.0,2.0,52.21,7279.2,8.6,7244.5,16.1,1,1,121.899,32.5592,93.3254,159.221,71.4496,207.97,N,,15.147,,,,0.336,,,0.158,0.0,,,,,0,0,0,0,10.91279,10.872093,8.312572,6.133544,0.001208,0.003882,0.021222,0.057776,0,0,12.242,11.605,11.281,0.039,0.047,0.06,2,16.211,14.6,13.851,13.48,13.22,0.011,0.002,0.002,0.002,0.003,,,,42.8232,42.8075,10.9756,,,,,0.455,0.431,0.443,W3,10.8904,,,,,-1,-1,?,?
42,PGC000042,FAIRALL 1062,,,00002691-4232515,-,-,0.112125,-42.547538,0,0.218,0.132,64.0,H,1,,,54.21,8870.7,40.4,8663.7,42.52,0,0,122.0896,16.6764,106.502,139.9586,92.9046,160.4428,Z,,16.47,,,,0.5,,,0.055,,,,,,0,0,0,0,,,,,,,,,0,0,13.029,12.407,12.162,0.04,0.045,0.078,2,,,,,,,,,,,,,,,,10.6246,,,,,,,,,10.5394,,,,,-1,-1,?,?
43,ESO293-027,ESO 293- G 027,,,00002948-4029040,-,-,0.122823,-40.484428,0,1.009,0.246,143.6,H,1,4.0,0.5,85.1,3166.5,7.5,2966.4,15.35,0,0,40.8922,7.0303,34.433,48.563,28.9941,57.6727,Z,,14.363,,,,0.22,,,0.042,0.924,,,,,0,0,0,0,,,,,,,,,0,0,12.325,11.811,11.909,0.034,0.046,0.109,2,,,,,,,,,,,,,,,,9.7757,,,,,,,,,9.6905,,,,,-1,-1,?,?
47,UGC12896,UGC 12896,,F23579+2602,00003138+2619318,1237663305845506118,-,0.130791,26.325389,0,0.344,0.29,155.5,H,1,4.3,2.2,33.38,7652.9,3.4,7752.7,11.45,0,0,108.5071,13.887,95.472,123.3219,84.0028,140.1594,Z,,14.7,,,,0.5,,,0.184,0.123,0.1342,0.166,1.014,1.852,1,2,3,2,11.084314,10.789929,6.484261,3.777916,0.00102,0.002956,0.003795,0.007023,0,0,12.671,12.011,11.864,0.042,0.058,0.081,2,15.468,14.734,14.294,14.124,13.927,0.006,0.002,0.002,0.002,0.004,44.2504,43.8993,43.8535,43.4535,43.6487,10.6413,0.755,0.84,0.796,0.789,1.015,1.2,0.84,FT,10.519,,,,,-1,-1,?,?
49,PGC000049,KUG 2357+225,,,00003344+2246424,1237679478007202028,-,0.139913,22.778353,1,0.214,0.214,0.0,H,2,,,39.58,11715.0,5.3,11798.5,12.55,0,0,162.6959,19.733,144.1126,183.6754,127.652,207.3603,Z,,17.16,,,,1.033,,,0.314,,,,,,0,0,0,0,12.215106,12.115682,8.740914,6.523028,0.003008,0.009458,0.023537,0.065266,0,0,13.842,13.151,12.812,0.088,0.121,0.141,2,17.921,16.263,15.536,15.115,14.808,0.039,0.004,0.004,0.004,0.009,,,,42.9026,42.9025,10.614,0.859,,,,0.525,0.517,0.514,W3,10.5482,,,,,-1,-1,?,?
53,UGC12895,UGC 12895,,,,1237679503782117461,-,0.160032,20.059116,0,0.31,0.229,114.4,H,1,7.6,1.1,47.79,6746.9,2.9,6817.6,12.04,0,0,98.9927,12.7584,87.0222,112.6097,76.4993,128.0999,Z,,16.5,,,,0.5,,,0.213,0.239,,,,,0,0,0,0,13.047893,13.078047,10.087312,9.239403,0.007793,0.027037,0.089621,0.825058,0,0,,,,,,,0,17.203,16.03,15.611,15.346,15.227,0.033,0.005,0.006,0.006,0.021,,,,41.9325,,,,,,,-0.337,,-0.349,W3,,,,,,-1,-1,?,?
54,UGC12897,UGC 12897,UGC 12897,,00003794+2823041,1237663233915551956,-,0.158084,28.384472,0,0.578,0.187,7.8,H,1,1.9,0.3,81.76,8833.3,41.9,8942.3,43.24,2,1,123.882,22.5013,103.316,148.545,86.2344,178.357,N,,14.822,,,,0.069,,,0.267,0.544,,,,,0,0,0,0,10.352775,10.368339,8.726876,7.802967,0.000452,0.001742,0.018131,0.161051,0,0,11.328,10.722,10.369,0.026,0.034,0.04,2,16.737,14.634,13.701,13.227,12.891,0.014,0.002,0.002,0.002,0.003,,,,42.6715,42.1537,11.3544,,,,,0.32,-0.168,0.308,W3,11.2692,,,,,-1,-1,?,?
55,UGC12898,UGC 12898,UGC 12898,,,1237663235524002225,-,0.155919,33.600949,1,0.385,0.117,11.0,H,1,5.9,0.5,75.67,4778.9,3.7,4910.8,10.67,2,1,74.9476,9.1414,67.3146,82.6961,60.6635,101.776,N,,16.5,,,,0.5,,,0.218,0.893,,,,,0,0,0,0,20.049662,16.163437,12.929499,,1.627712,0.172497,0.553655,,1,1,,,,,,,0,23.588,24.958,23.595,22.564,22.827,0.701,0.758,0.482,0.297,0.706,,,,,,,,,,,,,,,,,,,,-1,-1,?,?
57,PGC000057,2MASX J00004242+2822081,,,00004242+2822081,1237663233915617319,-,0.176705,28.368969,0,0.14,0.104,97.9,H,1,-2.0,2.0,49.34,8729.2,3.6,8838.1,11.27,0,0,124.1894,15.6751,109.4632,140.8968,96.4832,159.8518,Z,18.821,17.692,,,0.034,0.169,,,0.267,0.0,,,,,0,0,0,0,13.148854,13.16603,12.694289,10.648675,0.003334,0.013157,0.445062,1.566472,0,0,14.421,13.569,12.965,0.144,0.173,0.155,2,18.848,17.033,16.196,15.78,15.447,0.03,0.004,0.004,0.004,0.007,,,,,,10.3182,0.903,,,,,,,,10.2741,,,,,-1,-1,?,?
58,PGC000058,CGCG 498-061,,,00004401+2824051,1237663233915551957,-,0.183375,28.401417,0,0.372,0.266,87.3,H,1,1.5,1.7,47.25,8536.2,118.6,8645.2,119.08,0,0,121.8568,16.4802,106.4424,139.5034,92.9779,159.7056,Z,,15.667,,,,0.11,,,0.269,0.159,,,,,0,0,0,0,11.084607,11.09062,9.248615,8.057341,0.000954,0.003622,0.031838,0.216952,0,0,12.305,11.681,11.367,0.048,0.056,0.066,2,17.201,15.354,14.449,14.032,13.709,0.017,0.003,0.002,0.002,0.004,,,,42.4485,42.0377,10.9409,,,,,0.122,-0.274,0.11,W3,10.8557,,,,,-1,-1,?,?
60,PGC000060,2MASX J00004507+2822181,,,00004507+2822181,1237663233915617598,-,0.187791,28.371694,0,0.203,0.129,158.8,H,1,-0.2,1.4,56.35,8643.0,82.0,8751.9,82.69,0,0,123.166,16.0183,108.1456,140.2726,94.957,159.7551,Z,,17.29,,,,0.14,,,0.267,0.064,,,,,0,0,0,0,12.572618,12.568512,12.198573,9.071156,0.002731,0.010512,0.366858,0.44748,0,0,13.977,13.165,13.107,0.081,0.1,0.162,2,18.424,16.542,15.687,15.278,14.962,0.031,0.004,0.003,0.003,0.007,,,,,,10.2542,0.911,,,,,,,,10.2136,,,,,-1,-1,?,?
61,PGC000061,MCG -01-01-021,,,00004852-0534481,1237672793422692435,-,0.202098,-5.579999,0,0.278,0.185,75.8,H,1,-1.0,2.0,55.25,11075.9,21.0,11022.8,25.14,0,0,152.9587,15.7963,137.9507,169.5995,124.4152,188.0507,Z,,15.435,,,,0.354,,,0.156,0.0,,,,,0,0,0,0,11.469604,11.511605,8.50561,6.62617,0.002042,0.007296,0.021802,0.078481,0,0,12.593,11.794,11.894,0.04,0.042,0.081,2,16.612,15.273,14.555,14.18,13.928,0.013,0.003,0.002,0.002,0.004,,,,42.9432,42.8076,10.9275,0.856,,,,0.561,0.431,0.55,W3,10.86,,,,,-1,-1,?,?
62,ESO012-013,ESO 012- G 013,,,00004688-7734478,-,-,0.195586,-77.579927,0,0.503,0.102,9.0,H,1,4.4,1.9,90.0,10732.9,39.2,10456.0,40.29,0,0,145.7661,16.3701,130.2817,163.0908,116.4422,182.4747,Z,,16.484,,,,0.186,,,0.234,1.077,,,,,0,0,0,0,,,,,,,,,0,0,13.527,12.764,12.632,0.08,0.092,0.142,2,,,,,,,,,,,,,,,,10.5905,,,,,,,,,10.5053,,,,,-1,-1,?,?
63,UGC12899,UGC 12899,,,00004696+2824071,1237663233915552026,-,0.195666,28.401972,0,0.459,0.459,0.0,H,2,-4.1,1.3,29.28,8764.0,19.0,8873.0,21.8,0,0,124.6028,15.8702,109.7017,141.528,96.5827,160.7521,Z,,14.628,,,,0.124,,,0.269,0.0,,,,,0,0,0,0,10.183092,10.204053,9.608741,10.756763,0.000382,0.001472,0.040282,2.415665,0,0,11.113,10.424,10.176,0.029,0.042,0.051,2,16.327,14.342,13.436,13.009,12.692,0.009,0.002,0.002,0.002,0.002,,,,42.3238,,11.4367,,,,,0.011,,-0.001,W3,11.3515,,,,,-1,-1,?,?
65,ESO193-009,ESO 193- G 009,,,00005324-4721246,-,-,0.221834,-47.356833,0,0.646,0.135,157.0,H,1,-0.7,0.9,90.0,5903.0,60.0,5680.9,61.36,0,0,78.8823,11.3971,68.2703,91.1439,59.0859,105.3114,Z,,15.19,,,,0.2,,,0.073,0.0,,,,,0,0,0,0,,,,,,,,,0,0,11.965,11.293,10.97,0.025,0.03,0.043,2,,,,,,,,,,,,,,,,10.722,,,,,,,,,10.6368,,,,,-1,-1,?,?
68,ESO538-017,ESO 538- G 017,,,00005537-1857328,1237667225542328417,-,0.230541,-18.958956,0,0.386,0.228,27.2,H,1,2.0,2.0,57.57,7678.4,6.2,7563.3,15.43,0,0,106.6135,13.3808,94.0384,120.8703,82.9465,137.0334,Z,,15.677,,,,0.301,,,0.089,0.282,,,,,0,0,0,0,12.245572,12.129289,8.735327,7.239517,0.003366,0.010254,0.022968,0.117706,0,0,13.705,13.188,13.004,0.074,0.113,0.139,2,16.844,15.32,14.864,14.678,14.43,0.022,0.003,0.003,0.004,0.01,,,,42.5377,42.2487,10.17,,,,,0.201,-0.081,0.189,W3,10.0848,,,,,-1,-1,?,?
70,UGC12900,UGC 12900,UGC 12900,,00005604+2020165,1237680246814474422,-,0.233261,20.338153,0,0.891,0.127,110.2,H,1,5.8,0.5,90.0,6803.5,1.6,6875.3,11.77,2,1,116.541,13.3425,105.377,129.329,90.389,144.718,N,,15.653,,,,0.287,,,0.337,1.413,,,,,0,0,0,0,10.632109,10.55221,7.604276,5.986051,0.000993,0.003117,0.010821,0.049912,0,0,12.407,11.662,11.151,0.046,0.062,0.061,2,17.221,15.654,14.774,14.266,13.912,0.031,0.004,0.004,0.003,0.008,,,,43.0675,42.8274,10.9886,,,,,0.672,0.449,0.66,W3,10.9034,,,,,-1,-1,?,?
73,ESO349-017,ESO 349- G 017,ESO 349- G 017,,00005858-3336429,-,-,0.244018,-33.611912,0,0.598,0.506,115.6,H,1,5.3,1.0,33.06,6914.9,12.7,6739.2,18.75,1,1,37.8443,22.3077,20.9894,68.2339,11.6413,123.027,N,,14.577,,,,0.23,,,0.068,0.128,,,,,0,0,0,0,,,,,,,,,0,0,12.068,11.35,11.061,0.062,0.073,0.099,2,,,,,,,,,,,,,,,,10.0476,,,,,,,,,9.9624,,,,,-1,-1,?,?
74,PGC000074,KUG 2358+330,,F23583+3303,00005819+3320385,1237663235524067576,-,0.242458,33.344028,0,0.207,0.207,0.0,H,2,4.8,3.0,11.6,12950.9,4.6,13081.5,11.05,0,0,180.6659,16.9527,164.4843,198.4394,149.752,217.9614,Z,,15.92,15.9,15.9,,0.5,0.1,0.1,0.209,0.015,0.1004,0.0997,0.2058,0.594,1,1,3,1,12.596119,12.376015,8.445293,6.409122,0.003777,0.010127,0.014093,0.048278,0,0,14.362,13.733,13.587,0.106,0.128,0.224,2,16.457,15.686,15.423,15.202,15.056,0.01,0.003,0.003,0.004,0.009,,,43.6038,43.1119,43.039,10.395,0.696,,,0.539,0.711,0.642,0.642,F3,10.2378,,,,,-1,-1,?,?
75,ESO241-010,ESO 241- G 010,,,00010289-4319496,-,-,0.262041,-43.330444,0,0.743,0.629,174.6,H,1,-3.8,0.7,41.33,11572.0,32.0,11362.2,34.61,0,0,157.3507,16.6692,141.5341,174.9349,127.3073,194.4841,Z,,14.128,,,,0.198,,,0.043,0.0,,,,,0,0,0,0,,,,,,,,,0,0,10.91,10.21,9.916,0.026,0.027,0.041,2,,,,,,,,,,,,,,,,11.7433,,,,,,,,,11.6581,,,,,-1,-1,?,?
76,UGC12901,UGC 12901,UGC 12901,,00005891+2854421,1237663306918134035,-,0.245459,28.911694,0,0.628,0.251,45.0,H,1,3.0,0.4,71.55,6895.5,4.8,7006.7,11.65,4,1,96.0605,13.2533,85.6248,108.213,68.7156,124.951,N,,14.731,,,,0.322,,,0.213,0.56,,,,,0,0,0,0,10.471609,10.459994,8.203468,6.649036,0.000699,0.002561,0.014745,0.072332,0,0,11.558,11.114,10.835,0.029,0.048,0.059,2,16.293,14.472,13.646,13.225,12.875,0.013,0.002,0.002,0.002,0.003,,,,42.66,42.3944,10.9471,0.899,,,,0.31,0.053,0.298,W3,10.9008,,,,,-1,-1,?,?
77,PGC000077,UGC 12904 NOTES02,,,00010367+3439104,1237666184037400940,-,0.265311,34.653035,1,0.42,0.42,0.0,H,2,2.0,2.0,12.11,12685.0,39.0,12821.2,40.23,0,0,176.8471,17.4058,160.2704,195.1383,145.2476,215.3213,Z,,15.637,,,,0.41,,,0.317,0.012,,,,,0,0,0,0,10.69702,10.689984,9.367301,7.487357,0.00081,0.002687,0.042822,0.16502,0,0,12.113,11.226,11.068,0.039,0.038,0.064,2,17.165,15.077,14.099,13.628,13.264,0.018,0.002,0.002,0.002,0.003,,,,42.7245,42.5892,11.384,0.963,,,,0.367,0.231,0.355,W3,11.3677,,,,,-1,-1,?,?
79,IC5374,IC 5374,,F23585+0413,00010444+0430001,1237678776867618836,-,0.2685,4.500028,0,0.336,0.287,15.9,H,1,4.9,1.9,32.3,8954.5,5.5,8949.9,14.3,0,0,125.5248,15.9045,110.5866,142.4809,97.4261,161.7274,Z,,15.366,,,,0.41,,,0.128,0.119,0.1089,0.1563,0.3404,1.059,1,1,3,2,11.468354,11.354306,7.670418,6.027103,0.00169,0.005059,0.009077,0.040358,0,0,12.769,12.125,11.822,0.05,0.069,0.087,2,17.124,15.123,14.506,14.151,13.925,0.019,0.003,0.003,0.003,0.005,,,43.506,43.1055,42.8755,10.7847,,,,0.441,0.706,0.493,0.545,F3,10.6995,,,,,-1,-1,?,?
80,IC5375,IC 5375,,,00010478+0432261,1237678776867618922,-,0.269865,4.540584,0,0.452,0.254,1.0,H,1,2.2,2.0,59.62,9223.1,11.7,9218.7,17.63,0,0,129.0083,15.0562,114.7975,144.9783,102.1521,162.9252,Z,,15.227,,,,0.41,,,0.13,0.317,,,,,0,0,0,0,10.679506,10.689493,8.590428,7.015315,0.000808,0.002751,0.021576,0.106682,0,0,11.945,11.292,11.04,0.026,0.036,0.047,2,16.393,14.623,13.824,13.377,13.068,0.01,0.002,0.002,0.002,0.003,,,,42.7613,42.504,11.1212,0.888,,,,0.4,0.153,0.388,W3,11.0696,,,,,-1,-1,?,?
